osm_id,node1,node2,type
2569,0,1,tertiary
2570,2,3,secondary
2573,4,5,residential
2573,5,6,residential
2573,6,7,residential
2573,7,4,residential
2574,8,9,tertiary
286314,10,11,residential
286549,12,13,tertiary
286550,14,15,tertiary
286551,16,12,tertiary
286554,17,18,primary
286555,19,20,primary
1200807,21,22,residential
1200807,22,23,residential
1200807,23,24,residential
1345035,25,26,residential
1881556,27,28,residential
2114249,29,30,secondary
2114251,31,32,tertiary
2114252,33,34,residential
3127158,35,36,primary
3127176,37,38,residential
3127178,39,40,residential
3127185,41,42,secondary
3127196,43,44,tertiary
3496759,45,46,residential
3498991,47,48,primary
3599326,49,50,secondary
3599327,51,52,secondary
3599341,53,54,secondary
3630515,55,56,primary
3630516,57,58,residential
3630637,59,60,tertiary
3630638,61,62,residential
3630640,63,64,residential
3630640,64,65,residential
3630641,66,67,residential
3630643,68,69,residential
3630644,65,70,residential
3630645,71,67,residential
3630647,72,73,residential
3630647,73,74,residential
3630648,75,76,residential
3630649,77,78,residential
3630650,79,80,tertiary
3630654,81,80,residential
3630655,82,83,residential
3630656,84,85,residential
3630659,49,86,tertiary
3630660,87,88,residential
3630700,89,90,primary
3630703,91,92,residential
3630703,92,93,residential
3630705,94,95,residential
3630706,96,94,residential
3630707,97,96,residential
3630963,98,99,residential
3630963,99,100,residential
3630963,100,101,residential
3630964,102,28,residential
3630966,103,104,residential
3630968,105,106,residential
3630969,107,108,residential
3630970,109,110,motorway
3630970,110,111,motorway
3754837,112,113,motorway
3812394,114,115,residential
3812394,115,116,residential
3812395,117,118,residential
3812395,118,119,residential
3812396,120,121,residential
3812397,122,123,residential
3812398,124,125,residential
3812398,125,126,residential
3812398,126,127,residential
3812398,127,128,residential
3812399,129,122,tertiary
3812400,130,131,tertiary
3812400,131,132,tertiary
3812400,132,133,tertiary
3812400,133,134,tertiary
3812400,134,135,tertiary
3812400,135,136,tertiary
3812400,136,137,tertiary
3812401,138,139,tertiary
3812947,140,141,residential
3823030,142,143,residential
3823030,143,114,residential
3823031,144,145,residential
3823032,146,147,residential
3823032,147,148,residential
3823032,148,149,residential
3823032,149,150,residential
3823038,151,152,residential
3823038,152,153,residential
3823190,154,155,residential
3823312,156,157,residential
3823313,158,159,residential
3823313,159,160,residential
3823313,160,161,residential
3823780,150,162,residential
3823780,162,163,residential
3838029,164,165,secondary
3867659,166,167,primary
3867660,168,169,primary
3869982,170,171,residential
3869983,172,173,tertiary
3869987,174,175,primary
3869987,175,176,primary
3869988,177,178,primary
3869988,178,174,primary
3869989,174,179,primary
3869990,180,181,primary
3869990,181,182,primary
3869993,138,183,tertiary
3869993,183,184,tertiary
3869993,184,185,tertiary
3869993,185,186,tertiary
3869994,187,188,tertiary
3869995,188,189,tertiary
3869995,189,190,tertiary
3869997,191,192,tertiary
3869997,192,193,tertiary
3869997,193,194,tertiary
3869997,194,191,tertiary
3869998,195,196,tertiary
4006552,197,198,primary
4006555,199,200,primary
4006556,201,202,primary
4006558,203,204,primary
4006616,205,206,primary
4006616,206,207,primary
4006616,207,208,primary
4006616,208,209,primary
4006616,209,210,primary
4017450,211,212,motorway
4017454,213,214,motorway
4017457,215,216,motorway
4017458,217,218,motorway
4017458,218,219,motorway
4017458,219,220,motorway
4017458,220,221,motorway
4017466,222,223,motorway
4017466,223,224,motorway
4017466,224,225,motorway
4017466,225,226,motorway
4017466,226,227,motorway
4017466,227,228,motorway
4017466,228,229,motorway
4017466,229,230,motorway
4017468,231,232,motorway
4017469,233,234,motorway
4017469,234,235,motorway
4017469,235,236,motorway
4017469,236,237,motorway
4017469,237,238,motorway
4017469,238,239,motorway
4018031,240,241,secondary
4018031,241,242,secondary
4018032,243,244,secondary
4018033,244,245,residential
4018034,246,247,residential
4018041,248,249,primary
4018042,250,251,secondary
4018043,252,253,secondary
4018043,253,254,secondary
4018048,255,256,residential
4018050,257,258,tertiary
4018052,259,260,residential
4018055,79,261,residential
4018056,260,262,residential
4018056,262,263,residential
4018056,263,264,residential
4018056,264,260,residential
4018057,265,266,residential
4018058,267,268,residential
4018059,269,270,residential
4018060,265,271,residential
4018270,272,273,secondary
4018271,274,275,residential
4018274,275,276,residential
4018276,277,278,residential
4018280,279,280,residential
4018282,281,282,residential
4018284,283,281,residential
4018292,284,285,residential
4018294,286,287,residential
4018298,288,289,residential
4018300,290,291,residential
4018303,292,293,tertiary
4018305,294,295,secondary
4018305,295,296,secondary
4018307,297,298,secondary
4018309,299,294,secondary
4018310,300,301,secondary
4018311,302,303,residential
4018313,304,305,residential
4018316,306,307,residential
4018316,307,308,residential
4018316,308,309,residential
4018316,309,306,residential
4018317,310,311,residential
4018317,311,312,residential
4018317,312,313,residential
4018318,314,312,residential
4018319,315,316,residential
4018320,317,318,residential
4018325,319,320,residential
4018326,321,319,residential
4018328,322,323,residential
4018329,324,325,residential
4018331,326,327,residential
4018332,328,329,residential
4018333,330,331,residential
4018334,293,330,secondary
4018334,330,332,secondary
4018335,333,334,residential
4018336,335,336,residential
4018337,337,338,residential
4018338,336,339,residential
4018339,336,340,residential
4018341,341,342,residential
4018342,343,344,residential
4018343,345,346,residential
4018345,347,348,residential
4018346,349,350,residential
4018346,350,348,residential
4018346,348,351,residential
4018346,351,349,residential
4018347,352,353,secondary
4028980,354,355,residential
4028981,356,357,secondary
4028985,358,359,residential
4028986,360,361,residential
4028987,362,363,residential
4028989,364,362,secondary
4029619,365,366,residential
4038483,367,368,residential
4038483,368,369,residential
4039025,370,371,primary
4039034,372,373,secondary
4039036,374,375,residential
4039037,376,377,primary
4039044,378,379,secondary
4039046,380,381,residential
4039050,382,383,residential
4039050,383,384,residential
4039054,385,386,residential
4039061,387,388,secondary
4039064,389,390,secondary
4039065,391,392,residential
4039087,393,394,primary
4039091,395,396,residential
4039091,396,397,residential
4039092,398,399,secondary
4039097,400,401,tertiary
4039102,402,403,residential
4039102,403,404,residential
4039103,405,406,primary
4039108,407,408,residential
4039110,409,410,motorway
4039116,411,412,residential
4039117,413,107,residential
4039125,414,415,residential
4039125,415,416,residential
4039125,416,417,residential
4039126,418,419,primary
4039129,420,421,residential
4039135,422,423,residential
4039136,424,425,primary
4039138,426,427,secondary
4039139,428,429,residential
4039145,430,431,secondary
4039152,432,433,primary
4039153,434,435,secondary
4039159,436,437,primary
4039160,438,439,secondary
4039161,440,441,secondary
4039162,442,443,secondary
4039166,444,445,residential
4039169,446,447,residential
4039169,447,448,residential
4039172,449,450,residential
4039178,451,452,residential
4039184,453,454,residential
4039190,455,456,tertiary
4039200,457,458,primary
4039207,459,460,primary
4039210,461,462,secondary
4039212,463,464,primary
4039212,464,465,primary
4039212,465,466,primary
4039212,466,467,primary
4039215,468,469,tertiary
4039217,470,471,tertiary
4039219,472,473,residential
4039225,474,475,secondary
4039226,476,477,tertiary
4039230,478,479,secondary
4039233,480,481,secondary
4039234,482,483,tertiary
4039243,484,485,residential
4039243,485,486,residential
4039245,487,488,secondary
4039249,489,490,tertiary
4039250,491,492,secondary
4039252,493,494,primary
4039255,495,496,primary
4039258,497,498,primary
4039261,499,500,residential
4039262,501,502,residential
4039262,502,503,residential
4039268,504,505,residential
4039269,506,507,residential
4039274,508,509,secondary
4039282,510,511,primary
4039284,512,513,residential
4039287,514,515,residential
4039288,516,517,primary
4039289,518,519,secondary
4039292,520,268,residential
4039295,521,522,residential
4039300,523,524,primary
4039302,525,526,residential
4039306,527,528,residential
4039311,529,530,primary
4039314,531,532,residential
4039318,533,534,secondary
4039319,535,536,primary
4039321,537,538,tertiary
4039322,539,540,residential
4039325,440,541,secondary
4039326,542,543,residential
4039330,544,545,residential
4039340,546,547,residential
4039340,547,548,residential
4039340,548,549,residential
4039350,550,551,primary
4039352,552,553,tertiary
4039354,554,555,residential
4039356,556,557,residential
4039366,558,559,primary
4039367,560,561,secondary
