id,x,y
0,2.36941,48.82153
1,2.36935,48.8217
2,2.35519,48.832
3,2.35531,48.83182
4,2.35858,48.83216
5,2.35838,48.83217
6,2.35832,48.83207
7,2.35855,48.83201
8,2.39408,48.83914
9,2.39166,48.83761
10,2.3601,48.85042
11,2.36009,48.85046
12,2.35706,48.85244
13,2.35655,48.85183
14,2.35488,48.84998
15,2.35504,48.85016
16,2.35711,48.8525
17,2.35676,48.84941
18,2.35697,48.84947
19,2.35893,48.85007
20,2.359,48.85009
21,2.03093,48.7671
22,2.03096,48.76744
23,2.03037,48.76765
24,2.03045,48.76793
25,2.35649,48.83281
26,2.35841,48.83219
27,2.36868,48.82706
28,2.36977,48.82515
29,2.35073,48.83859
30,2.35082,48.83887
31,2.35587,48.84917
32,2.35611,48.84933
33,2.35124,48.84713
34,2.35201,48.84768
35,2.36236,48.86795
36,2.36278,48.86829
37,2.37032,48.85312
38,2.37429,48.84961
39,2.40459,48.84052
40,2.40447,48.84009
41,2.39285,48.84804
42,2.39057,48.84778
43,2.40621,48.84741
44,2.40623,48.84715
45,2.38146,48.89444
46,2.37927,48.89569
47,2.38736,48.90016
48,2.38744,48.90005
49,2.37136,48.82768
50,2.37293,48.82848
51,2.35726,48.82618
52,2.35926,48.82615
53,2.36912,48.82163
54,2.36706,48.82265
55,2.35581,48.83183
56,2.35606,48.83222
57,2.35659,48.8397
58,2.35813,48.83999
59,2.37163,48.82751
60,2.37345,48.82633
61,2.36266,48.82529
62,2.36201,48.82561
63,2.35817,48.8314
64,2.35891,48.83051
65,2.36011,48.82946
66,2.36455,48.82777
67,2.36069,48.82925
68,2.35767,48.82902
69,2.3593,48.82976
70,2.35811,48.82847
71,2.36056,48.82909
72,2.36101,48.82567
73,2.36149,48.82606
74,2.3615,48.82635
75,2.36356,48.82663
76,2.36336,48.82625
77,2.35997,48.832
78,2.3622,48.83025
79,2.36219,48.83273
80,2.36367,48.83158
81,2.36487,48.83238
82,2.36542,48.82946
83,2.366,48.83054
84,2.36726,48.82832
85,2.36938,48.82798
86,2.36991,48.82863
87,2.37439,48.83105
88,2.3718,48.82972
89,2.37365,48.83757
90,2.37344,48.83746
91,2.35435,48.8312
92,2.3544,48.83177
93,2.35503,48.83222
94,2.35553,48.83285
95,2.35461,48.83285
96,2.35554,48.83321
97,2.35676,48.83317
98,2.37492,48.82537
99,2.37481,48.82524
100,2.37506,48.82473
101,2.37557,48.82416
102,2.36787,48.82448
103,2.3685,48.8233
104,2.37038,48.82415
105,2.37191,48.82514
106,2.371,48.82487
107,2.37814,48.82627
108,2.37476,48.82561
109,2.34342,48.79825
110,2.34266,48.79921
111,2.34224,48.80002
112,2.10998,49.03249
113,2.11143,49.03224
114,2.69868,48.98452
115,2.69792,48.98549
116,2.69819,48.98578
117,2.69807,48.9852
118,2.69712,48.98482
119,2.6966,48.98482
120,2.69757,48.98501
121,2.69735,48.98522
122,2.6963,48.98373
123,2.6926,48.98274
124,2.69386,48.983
125,2.69355,48.98422
126,2.6942,48.98463
127,2.69439,48.98512
128,2.69499,48.98512
129,2.69636,48.98268
130,2.6937,48.98795
131,2.69408,48.98976
132,2.69603,48.99134
133,2.69723,48.9928
134,2.69995,48.9951
135,2.70129,48.99714
136,2.70191,48.99901
137,2.70217,48.99935
138,2.69886,48.9671
139,2.69882,48.96859
140,2.70081,48.98569
141,2.7049,48.98578
142,2.69703,48.98388
143,2.69773,48.98426
144,2.70527,48.9871
145,2.70463,48.98584
146,2.70068,48.98559
147,2.70125,48.98614
148,2.70479,48.98707
149,2.7061,48.98709
150,2.70878,48.98678
151,2.7102,48.98669
152,2.71025,48.98694
153,2.71001,48.98704
154,2.70837,48.98609
155,2.70947,48.98758
156,2.70675,48.98703
157,2.70584,48.98555
158,2.70618,48.98612
159,2.70537,48.98607
160,2.70551,48.98626
161,2.70567,48.9861
162,2.71081,48.98669
163,2.7123,48.98697
164,2.3344,48.87337
165,2.33731,48.87413
166,2.34948,48.88385
167,2.347,48.88356
168,2.32945,48.88441
169,2.32988,48.88432
170,2.36921,48.88251
171,2.36907,48.88234
172,2.36889,48.86633
173,2.37125,48.86327
174,2.66372,48.96309
175,2.66256,48.96745
176,2.6627,48.9676
177,2.66225,48.96759
178,2.66261,48.9669
179,2.66438,48.96039
180,2.66268,48.96817
181,2.66249,48.96833
182,2.66178,48.97122
183,2.69643,48.96735
184,2.69389,48.96733
185,2.69345,48.96748
186,2.69301,48.96825
187,2.68602,48.96773
188,2.68234,48.96602
189,2.68108,48.9655
190,2.67722,48.9647
191,2.67168,48.96561
192,2.67163,48.96567
193,2.67153,48.96563
194,2.67159,48.96557
195,2.67003,48.96605
196,2.66731,48.9665
197,2.30523,48.8278
198,2.30493,48.82786
199,2.25936,48.8489
200,2.25908,48.84855
201,2.26479,48.85752
